uuid,headline,description,instruction,location,sending_agency,time,url,event
390b8d45-815e-4d79-94f4-fa79783cd26e,Special Weather Statement issued May 30 at 3:08PM PDT by NWS San Francisco CA,"At 306 PM PDT, trained weather spotters reported strong, training
thunderstorms with intense rain rates along a line extending from
Clyde to Los Gatos. Movement was east at 55 mph.

Dime size hail and winds in excess of 30 mph will be possible with
these storms.

Locations impacted include...
Hayward, Concord, Antioch, Livermore, San Ramon, Pleasanton, Walnut
Creek, Pittsburg, Dublin, Danville, Martinez, Oakley, Pleasant Hill,
Castro Valley, Brentwood, Discovery Bay, Clayton, Sunol, West
Pittsburg and Blackhawk-Camino Tassajara.","Torrential rainfall is also occurring with these storms, and may lead
to localized flooding. Do not drive your vehicle through flooded
roadways.

Infrequent cloud to ground lightning is occurring with these storms.
Lightning can strike 10 miles away from a thunderstorm. Seek a safe
shelter inside a building or vehicle.","Clyde; Los Gatos; Hayward; Concord, Antioch; Livermore; San Ramon; Pleasanton; Walnut Creek; Pittsburg; Dublin; Danville; Martinez; Oakley; Pleasant Hill; Castro Valley; Brentwood; Discovery Bay; Clayton; Sunol; West Pittsburg; Blackhawk-Camino Tassajara",NWS San Francisco CA,,,Other
77ee519b-e455-4ad1-870f-9763a7094b14,Special Weather Statement issued March 4 at 6:47AM CST by NWS La Crosse WI,"Through 9 AM, showers will produce a mix of rain, freezing rain,
sleet, and snow as they continue to move northeast across
southeast Minnesota and western Wisconsin.

Rainfall amounts will range from a trace to a few hundredths of an
inch.

A light sleet accumulation or glaze may occur. Untreated walk ways
and roads may become slick.
","

",southeast Minnesota; western Wisconsin,NWS La Crosse WI,9:00 AM,,Other
8c72d831-5b13-4533-977e-1a618233b581,Severe Thunderstorm Warning issued August 26 at 9:19PM CDT expiring August 26 at 9:45PM CDT by NWS Milwaukee/Sullivan WI,"At 919 PM CDT, a severe thunderstorm was located over Jefferson,
moving northeast at 35 mph.

HAZARD...60 mph wind gusts and quarter size hail.

SOURCE...Radar indicated.

IMPACT...Hail damage to vehicles is expected. Expect wind damage to
roofs, siding, and trees.

Locations impacted include...
Watertown, Jefferson, Lake Mills, Johnson Creek, Ixonia, Milford,
Pipersville, Helenville and Lake Lac La Belle.
","For your protection move to an interior room on the lowest floor of a
building.

",Jefferson; Watertown; Lake Mills; Johnson Creek; Ixonia; Milford; Pipersville; Helenville; Lake Lac La Belle,NWS Milwaukee/Sullivan WI,August 26 at 9:45PM CDT,,SevereThunderstormWarning
1cc51090-57a0-4993-a9be-bf12ec864a8c,Severe Thunderstorm Warning issued May 23 at 4:27PM EDT until May 23 at 5:30PM EDT by NWS Mount Holly NJ,"The National Weather Service in Mount Holly NJ has issued a

* Severe Thunderstorm Warning for...
Talbot County in eastern Maryland...
Southwestern Queen Anne's County in northeastern Maryland...
Caroline County in eastern Maryland...

* Until 530 PM EDT.

* At 426 PM EDT, severe thunderstorms were located along a line
extending from near Severn River to Kent Point to Chesapeake Beach
to 7 miles southwest of Dunkirk, moving east at 50 mph.

HAZARD...70 mph wind gusts and penny size hail.

SOURCE...Radar indicated.

IMPACT...Expect considerable tree damage. Damage is likely to
mobile homes, roofs, and outbuildings.

These storms have a history of wind damage.

* Locations impacted include...
Easton, Talbot, Denton, Federalsburg, Greensboro, Oakland, Ridgely,
Trappe, St. Michaels, Preston, Oxford, Queen Anne, Smithville,
Grasonville, Starr, Copperville, Jumptown, Agner, Choptank and
Windyhill.
","Remain alert for a possible tornado! Tornadoes can develop quickly
from severe thunderstorms. If you spot a tornado go at once into the
basement or small central room in a sturdy structure.

For your protection move to an interior room on the lowest floor of a
building.

In addition to damaging winds, frequent cloud to ground lightning is
occurring with these storms. Move indoors immediately. Remember, if
you can hear thunder, you are close enough to be struck by lightning.

",Talbot County in eastern Maryland; Southwestern Queen Anne's County in northeastern Maryland; Caroline County in eastern Maryland; Severn River; Kent Point; Chesapeake Beach; Dunkirk; Easton; Talbot; Denton; Federalsburg; Greensboro; Oakland; Ridgely; Trappe; St. Michaels; Preston; Oxford; Queen Anne; Smithville; Grasonville; Starr; Copperville; Jumptown; Agner; Choptank; Windyhill,NWS Mount Holly NJ,May 23 at 5:30PM EDT,,SevereThunderstormWarning
2a28224e-476d-4b37-be87-7b673ec3ad62,EAS RMT,"This is a coordinated monthly test of the Emergency Alert System through broadcast stations in the Greater Portland/Vancouver area including Clackamas, Columbia, Multnomah and Washington Counties in Oregon, and Clark County in Washington.  With the cooperation of Public Safety, Broadcasters, and Cable operators, this system informs you of events that pose an immediate threat to your life, health, or property.  If this had been an actual emergency, official information would have followed the alert tone.  This test was originated by Clark Regional Emergency Services Agency in Vancouver Washington.  This concludes this test message.",,,Clark Regional Emergency Services Agency,,,TestAlert
18137e56-3c59-4545-84f0-c18a112cc187,REQUIRED WEEKLY TEST,REQUIRED WEEKLY TEST,REQUIRED WEEKLY TEST,,,,,TestAlert
82bbd5e8-0a50-4fee-a80c-84db8e4cf9a4,USGS Earthquake Warning,"USGS ShakeAlert message cancelled. Investigating. If you protected yourself, well done.",,,USGS,,,EarthquakeWarning
27d24008-6cc5-4701-b585-1a24bae26ad2,USGS Earthquake Warning,"Earthquake! Expect shaking. Drop, Cover, Hold On. Protect yourself now. -USGS ShakeAlert",,,USGS,,,EarthquakeWarning
c7d608f5-499f-460c-8556-99e5fa8a55a2,911 Telephone Outage Emergency,"Clinton County Central Dispatch is currently experiencing problems receiving 911 phone calls from Verizon Wireless customers.  If your provider is Verizon Wireless and you have an emergency in Clinton County, please call 989-224-6792",,Clinton County,,,,NineOneOneOutageAlert
8e5cbf9e-10c4-41ef-b184-7ff0ce85d2a4,EAS 9-1-1 Telephone Outage Emergency,CLARION COUNTY 9-1-1 CENTER IS CURRENTLY DOWN. IF YOU HAVE AN EMERGENCY PLEASE DIAL  814-226-1172.,,CLARION COUNTY,,,,NineOneOneOutageAlert
fc7b6d6b-6191-475d-8b73-af311fa05341,Tsunami Watch issued March 24 at 4:59PM HST by NWS Pacific Tsunami Warning Center,"TO - EMERGENCY MANAGEMENT IN THE STATE OF HAWAII

SUBJECT - TSUNAMI WATCH

A TSUNAMI WATCH IS ISSUED FOR THE STATE OF HAWAII EFFECTIVE AT
0459 PM HST.

AN EARTHQUAKE HAS OCCURRED WITH THESE PRELIMINARY PARAMETERS

ORIGIN TIME - 0449 PM HST 24 MAR 2020
COORDINATES - 49.0 NORTH  157.7 EAST
LOCATION    - EAST OF THE KURIL ISLANDS
MAGNITUDE   - 7.8  MOMENT

EVALUATION

BASED ON ALL AVAILABLE DATA A TSUNAMI MAY HAVE BEEN GENERATED BY
THIS EARTHQUAKE THAT COULD BE DESTRUCTIVE ON COASTAL AREAS EVEN
FAR FROM THE EPICENTER. AN INVESTIGATION IS UNDERWAY TO DETERMINE
IF THERE IS A TSUNAMI THREAT TO HAWAII.

IF TSUNAMI WAVES IMPACT HAWAII THE ESTIMATED EARLIEST ARRIVAL OF
THE FIRST TSUNAMI WAVE IS

1042 PM HST TUE 24 MAR 2020

FURTHER MESSAGES WILL BE ISSUED HOURLY OR SOONER AS CONDITIONS
WARRANT UNTIL THE THREAT TO HAWAII HAS PASSED.",,THE STATE OF HAWAII,NWS Pacific Tsunami Warning Center,,,TsunamiWarning
eae0adb1-e67e-4623-90df-b197cc1b2be2,Tsunami Advisory issued January 10 at 3:58AM AST by NWS Pacific Tsunami Warning Center,"PERSONS LOCATED IN OR NEAR THE OCEAN SHOULD MOVE OUT OF THE
WATER... OFF THE BEACH AND AWAY FROM HARBORS... MARINAS... BAYS
AND INLETS.

AN EARTHQUAKE WITH A PRELIMINARY MAGNITUDE OF 7.8 OCCURRED NORTH
OF HONDURAS AT 1052 PM AST ON TUESDAY JANUARY 9 2018.

A HAZARDOUS TSUNAMI MAY HAVE BEEN GENERATED BY THIS NEARBY
EARTHQUAKE THAT COULD SOON IMPACT NEARBY COASTS.

BASED ON ALL AVAILABLE DATA... THERE IS A TSUNAMI THREAT TO
PUERTO RICO AND THE VIRGIN ISLANDS OF SEA LEVEL FLUCTUATIONS AND
STRONG OCEAN CURRENTS THAT COULD BE A HAZARD ALONG COASTS...
BEACHES... IN HARBORS... AND IN COASTAL WATERS.

THE HAZARD IS FORECAST TO BEGIN AROUND 124 AM AST ON WEDNESDAY
JANUARY 10 2018 AND IT CAN PERSIST FOR MANY HOURS OR LONGER.

DO NOT GO TO THE SHORE TO OBSERVE THE TSUNAMI.

DO NOT RETURN TO EVACUATED AREAS UNTIL THE ALL CLEAR IS GIVEN BY
LOCAL AUTHORITIES.

BE ALERT TO AND FOLLOW INSTRUCTIONS FROM LOCAL EMERGENCY
MANAGEMENT OFFICIALS BECAUSE THEY MAY HAVE MORE DETAILED OR
SPECIFIC INFORMATION FOR YOUR LOCATION.
","

",PUERTO RICO; VIRGIN ISLANDS,NWS Pacific Tsunami Warning Center,,,TsunamiWarning
468d62ec-ded9-44e4-b2d5-8b0e9322522c,Gas Leak - Shelter in Place,,Avoid driving in Yulee.  Residents near Chester and 200 should shelter in place until further notice.,Yulee; Chester; 200,,,,HazardousMaterialsWarning
dbdfd1e8-40b9-4ac3-8f61-0e8b80a8b937,Hazardous Materials Warning,,,,,,,HazardousMaterialsWarning
f4e80d72-0c4d-4627-a9a5-7779879745ce,Storm Surge Warning issued October 8 at 5:42PM EDT by NWS Tallahassee FL,"A Hurricane Warning means hurricane-force winds are expected
somewhere within this area within the next 36 hours

A Storm Surge Warning means there is a danger of life-threatening
inundation, from rising water moving inland from the coastline,
somewhere within this area within the next 36 hours

* LOCATIONS AFFECTED
- Inland Franklin County

* WIND
- LATEST LOCAL FORECAST: Tropical storm force winds remain
possible
- Peak Wind Forecast: 25-35 mph with gusts to 45 mph

- POTENTIAL THREAT TO LIFE AND PROPERTY: Potential for wind
greater than 110 mph
- The wind threat has remained nearly steady from the
previous assessment.
- PLAN: Plan for extreme wind of equivalent CAT 3 hurricane
force or higher due to possible forecast changes in track,
size, or intensity.
- PREPARE: Remaining efforts to protect life and property
should be urgently completed. Prepare for catastrophic wind
damage.
- ACT: Move to safe shelter before the wind becomes hazardous.

- POTENTIAL IMPACTS: Devastating to Catastrophic
- Structural damage to sturdy buildings, some with complete
roof and wall failures. Complete destruction of mobile
homes. Damage greatly accentuated by large airborne
projectiles. Locations may be uninhabitable for weeks or
months.
- Numerous large trees snapped or uprooted along with fences
and roadway signs blown over.
- Many roads impassable from large debris, and more within
urban or heavily wooded places. Many bridges, causeways,
and access routes impassable.
- Widespread power and communications outages.

* FLOODING RAIN
- LATEST LOCAL FORECAST:
- Peak Rainfall Amounts: Additional 4-8 inches, with locally
higher amounts

- POTENTIAL THREAT TO LIFE AND PROPERTY: Potential for moderate
flooding rain
- The flooding rain threat has remained nearly steady from
the previous assessment.
- PLAN: Emergency plans should include the potential for
moderate flooding from heavy rain. Evacuations and rescues
are possible.
- PREPARE: Consider protective actions if you are in an area
vulnerable to flooding.
- ACT: Heed any flood watches and warnings. Failure to take
action may result in serious injury or loss of life.

- POTENTIAL IMPACTS: Significant
- Moderate rainfall flooding may prompt several evacuations
and rescues.
- Rivers and tributaries may quickly become swollen with
swifter currents and overspill their banks in a few places,
especially in usually vulnerable spots. Small streams,
creeks, and ditches overflow.
- Flood waters can enter some structures or weaken
foundations. Several places may experience expanded areas
of rapid inundation at underpasses, low-lying spots, and
poor drainage areas. Some streets and parking lots take on
moving water as storm drains and retention ponds overflow.
Driving conditions become hazardous. Some road and bridge
closures.

* TORNADO
- LATEST LOCAL FORECAST:
- Situation is somewhat favorable for tornadoes

- POTENTIAL THREAT TO LIFE AND PROPERTY: Potential for a few
tornadoes
- The tornado threat has remained nearly steady from the
previous assessment.
- PLAN: Emergency plans should include the potential for a
few tornadoes.
- PREPARE: If your shelter is particularly vulnerable to
tornadoes, prepare to relocate to safe shelter before
hazardous weather arrives.
- ACT: If a tornado warning is issued, be ready to shelter
quickly.

- POTENTIAL IMPACTS: Limited
- The occurrence of isolated tornadoes can hinder the
execution of emergency plans during tropical events.
- A few places may experience tornado damage, along with
power and communications disruptions.
- Locations could realize roofs peeled off buildings,
chimneys toppled, mobile homes pushed off foundations or
overturned, large tree tops and branches snapped off,
shallow-rooted trees knocked over, moving vehicles blown
off roads, and small boats pulled from moorings.

* FOR MORE INFORMATION:
- Local Weather Conditions and Forecasts: NWS Tallahassee
- https://www.weather.gov/tallahassee
- Information from the Florida Division of Emergency Management
- https://www.floridadisaster.org
- Information from Franklin County Emergency Management
- https://www.franklinemergencymanagement.com
","

",Inland Franklin County,NWS Tallahassee FL,,https://www.weather.gov/tallahassee; https://www.floridadisaster.org; https://www.franklinemergencymanagement.com,StormSurgeWarning
